,user,size,fit,star,text,gender,height,weight
0,"남성, 178cm, 62kg",L,커요,4.0,"역시 마크 곤잘레스여서 그런지 확실히 예쁘긴 하네요...가격도 블랙 프라이데이때 사서 싸게 잘 샀구요
마크 곤잘레스여서 맨투맨 가격이 이해가 되긴하지만 살짝 비싼감이 없지 않나해요.
특히 흰티랑 궁합이 좋은 듯해요. 요즘 날씨에 안에 흰티 입고 이거 입고 밖에 나갈 수 있어요.
어느정도 돈이 넉넉하신 분은 이걸 구매하는 것도 나쁘지 않을 선택이에요",남성,178cm,62kg
1,"여성, 165cm, 50kg",S,보통이에요,5.0,커플티 맞췃는데 가격도 나쁘지않고 이쁘고 잘 맞고 좋네용,여성,165cm,50kg
2,"남성, 178cm, 60kg",M,보통이에요,5.0,무난무난한 맨투맨입니다. 정사이즈로 샀는데 기장감이 딱 좋았어요. 편하게 입을 수 있어서 손이 자주 갑니다!,남성,178cm,60kg
3,"남성, 182cm, 72kg",L,보통이에요,5.0,가성비갑~ 적당한 오버핏에 얇지도 두껍지도 않아서 너무좋아요,남성,182cm,72kg
4,"남성, 165cm, 80kg",X,보통이에요,5.0,엄청 편하고 데일리로 입기 좋아요! 거의 교복입니다,남성,165cm,80kg
5,"남성, 170cm, 65kg",M,커요,5.0,"오버핏으로 입기 좋습니다.
너무 두껍거나 얇지도 않은 적당한 두께감도 마음에 듭니다.
로고도 깔끔하고 이쁩니다.",남성,170cm,65kg
6,"남성, 163cm, 44kg",S,보통이에요,4.0,얇아서 가을에 입기 좋고 무난무낭하게 입기 좋아요,남성,163cm,44kg
7,"남성, 170cm, 65kg",S,보통이에요,5.0,마크곤잘레스 검정 맨투맨사고 레이어드 하기 좋아서 회색도 샀어요,남성,170cm,65kg
8,"남성, 175cm, 70kg",L,보통이에요,5.0,똑같은 디자인 다른 색상으로 또 다시 마크곤잘레스 맨투맨을 재구매 했습니다.. 디자인이 너무 예뻐서 계속 사게 되네요!!,남성,175cm,70kg
9,"남성, 175cm, 85kg",X,보통이에요,5.0,저희 동생인데 애가 조금 근육이 있다보니깐 옷핏이 잘서네요. 3대 600정도 침. 특히 어깨가 좁아서 딱 맞아요.,남성,175cm,85kg
10,"남성, 178cm, 62kg",L,커요,4.0,"역시 마크 곤잘레스여서 그런지 확실히 예쁘긴 하네요...가격도 블랙 프라이데이때 사서 싸게 잘 샀구요
마크 곤잘레스여서 맨투맨 가격이 이해가 되긴하지만 살짝 비싼감이 없지 않나해요.
특히 흰티랑 궁합이 좋은 듯해요. 요즘 날씨에 안에 흰티 입고 이거 입고 밖에 나갈 수 있어요.
어느정도 돈이 넉넉하신 분은 이걸 구매하는 것도 나쁘지 않을 선택이에요",남성,178cm,62kg
11,"여성, 165cm, 50kg",S,보통이에요,5.0,커플티 맞췃는데 가격도 나쁘지않고 이쁘고 잘 맞고 좋네용,여성,165cm,50kg
12,"남성, 178cm, 60kg",M,보통이에요,5.0,무난무난한 맨투맨입니다. 정사이즈로 샀는데 기장감이 딱 좋았어요. 편하게 입을 수 있어서 손이 자주 갑니다!,남성,178cm,60kg
13,"남성, 182cm, 72kg",L,보통이에요,5.0,가성비갑~ 적당한 오버핏에 얇지도 두껍지도 않아서 너무좋아요,남성,182cm,72kg
14,"남성, 165cm, 80kg",X,보통이에요,5.0,엄청 편하고 데일리로 입기 좋아요! 거의 교복입니다,남성,165cm,80kg
15,"남성, 170cm, 65kg",M,커요,5.0,"오버핏으로 입기 좋습니다.
너무 두껍거나 얇지도 않은 적당한 두께감도 마음에 듭니다.
로고도 깔끔하고 이쁩니다.",남성,170cm,65kg
16,"남성, 163cm, 44kg",S,보통이에요,4.0,얇아서 가을에 입기 좋고 무난무낭하게 입기 좋아요,남성,163cm,44kg
17,"남성, 170cm, 65kg",S,보통이에요,5.0,마크곤잘레스 검정 맨투맨사고 레이어드 하기 좋아서 회색도 샀어요,남성,170cm,65kg
18,"남성, 175cm, 70kg",L,보통이에요,5.0,똑같은 디자인 다른 색상으로 또 다시 마크곤잘레스 맨투맨을 재구매 했습니다.. 디자인이 너무 예뻐서 계속 사게 되네요!!,남성,175cm,70kg
19,"남성, 175cm, 85kg",X,보통이에요,5.0,저희 동생인데 애가 조금 근육이 있다보니깐 옷핏이 잘서네요. 3대 600정도 침. 특히 어깨가 좁아서 딱 맞아요.,남성,175cm,85kg
20,"남성, 174cm, 56kg",S,보통이에요,5.0,맨투맨 보단 후드를 많이 샀는데 맨투맨도 이쁘네요 역시군요,남성,174cm,56kg
21,"남성, 180cm, 72kg",X,보통이에요,4.0,기모가 나쁘지는 않은데 애매함 총장이 좀 짧은편,남성,180cm,72kg
22,"남성, 184cm, 80kg",X,커요,5.0,"믿고사는 마곤 블프때 마니 사서 잘입고 있어요~
퀄리티 좋고 컬러 이쁘고 굿",남성,184cm,80kg
23,"남성, 177cm, 72kg",L,보통이에요,5.0,예쁘고 편하고 활용도 높고 잘 입고 있습니다 굿굿,남성,177cm,72kg
24,"남성, 181cm, 83kg",X,커요,5.0,생각보단 크네요. 오버핏으로 입기에는 괜찮네요. 한 사이즈 다운해도 괜찮겠어요.,남성,181cm,83kg
25,"남성, 170cm, 50kg",M,보통이에요,5.0,사진이랑 똑같고 사이즈도 맞는 것 같아요.배송도 빨라요.,남성,170cm,50kg
26,"남성, 171cm, 58kg",M,보통이에요,5.0,검정색 구입한 후 만족해서 회색도 구입했는데 다 만족스럽네요,남성,171cm,58kg
27,"남성, 178cm, 65kg",L,보통이에요,5.0,믿고 사는 마크곤잘레스 입니다 맨투맨 역시 이뻐요,남성,178cm,65kg
28,"남성, 174cm, 75kg",L,보통이에요,4.0,"착용하면 더 이쁘네요 두께감도 살짝?있고
만족합니다",남성,174cm,75kg
