,name,Apps,Mins,Goals,Assists,Disp,UnsTch,Rating,SpG,KeyP,Drb,Fouled
0,Mattia Zaccagni Verona,2,180,2,-,4,1,8.47,2,2.5,3.5,3.5
1,Robert Lewandowski Bayern,17,1451,19,1,1.3,2.3,8.08,4.5,1.4,1.5,1
2,Malang Sarr Chelsea,1,90,-,-,-,-,7.95,-,-,-,-
3,Erling Haaland Borussia Dortmund,10(1),902,13,4,0.6,2.8,7.93,4.1,1,0.8,0.5
4,Gerard Moreno Villarreal,9(1),771,8,1,1.4,1.6,7.9,2.9,1.9,2.3,1.1
5,Mohamed Salah Liverpool,20,1784,16,9,2.1,3.3,7.82,4,2.1,1.9,0.8
6,Andy Delort Montpellier,3,270,2,1,0.7,3.3,7.82,4.7,3,0.3,1
7,Kylian Mbappé PSG,16(1),1432,9,8,1.8,2.9,7.8,3.6,1.9,3.4,1.4
8,Téji Savanier Montpellier,16,1380,5,6,1.3,2.9,7.8,2.9,2.1,3.3,2.9
9,Kike Hermoso Real Betis,1,90,1,-,-,1,7.77,2,-,1,-
10,Karim Benzema Real Madrid,19,1563,15,7,0.8,1.4,7.67,3.5,1.9,1.1,0.3
11,Dimitri Payet Marseille,15(1),1338,7,7,1.2,1.3,7.66,2.3,3.6,1,1.5
12,Ben Chilwell Chelsea,6,540,3,1,0.5,2.2,7.65,2.2,1.7,0.5,2.5
13,Trent Alexander-Arnold Liverpool,18,1594,2,9,0.4,0.9,7.63,1.7,3.1,0.4,0.3
14,Vinícius Júnior Real Madrid,17(2),1518,10,4,1.8,2.5,7.6,2.5,1.6,2.9,2.3
15,Patrik Schick Leverkusen,14,1098,16,1,1,2.1,7.59,3.2,0.6,0.4,0.7
16,Thomas Müller Bayern,17,1402,5,13,0.7,1.9,7.58,1.4,3.2,0.5,0.6
17,Stefanos Kapino Arminia Bielefeld,1,90,-,-,-,-,7.58,-,-,-,-
18,Joshua Kimmich Bayern,11,972,3,3,0.6,1.2,7.51,1.1,2.4,0.1,1.4
19,Christopher Nkunku RBL,17,1468,7,5,1.8,3.2,7.5,2.6,1.9,2.3,1.7
20,Memphis Depay Barcelona,15,1350,8,2,1.7,3.7,7.48,2.9,2.3,2.1,2.5
21,Hakan Calhanoglu Inter,16(1),1160,6,7,0.7,1.1,7.48,2.1,2.7,0.4,0.9
22,Lorenzo Pellegrini Roma,13,1088,5,2,1.1,2.4,7.47,3.4,3.1,1.6,2.0
23,Nabil Fekir Real Betis,16(1),1414,4,3,3,2.9,7.47,2.9,2.4,2.3,2.4
24,Paulo Dybala Juventus,12(1),946,5,3,0.5,2.5,7.47,4.1,1.8,1.9,1.8
25,Gaëtan Laborde Montpellier,4,342,3,-,0.8,2,7.47,3.5,1.0,0.3,0.8
26,Neymar PSG,10,831,3,3,2.5,3.6,7.46,2,2.3,3.7,3.1
27,Jofre Carreras Espanyol,0(1),9,-,1,-,-,7.46,-,2.0,-,2.0
28,Conor Gallagher Crystal Palace,17,1484,6,3,1.6,1.9,7.46,2,1.8,1.3,1.8
29,Leroy Sané Bayern,14(3),1117,5,5,1.5,2.1,7.45,3.2,2.0,2.4,0.8
30,Miguel Gutiérrez Real Madrid,3,262,-,1,0.7,0.3,7.44,-,1.0,2,2.7
31,Dominic Calvert-Lewin Everton,4,339,3,-,0.3,2.5,7.44,3.8,0.8,-,1.5
32,Bernardo Silva Man City,20,1706,7,1,0.9,1.5,7.42,1.3,1.6,1.7,1.1
33,Mateo Kovacic Chelsea,10(3),937,2,5,0.9,0.8,7.4,1.2,1.1,2.1,0.9
34,Sofiane Boufal Angers,17(1),1447,5,3,2.1,3.6,7.4,2.1,2.0,3.2,3.0
35,Rodri Man City,17,1474,3,1,0.6,0.5,7.39,1,1.0,0.5,0.5
36,Giovanni Reyna Borussia Dortmund,3,221,2,-,2.3,1.3,7.39,2,2.7,1.3,1.7
37,Lionel Messi PSG,10(1),866,1,4,1.5,2.5,7.38,3.9,2.2,2.3,1.9
38,Alphonso Davies Bayern,15(1),1270,-,3,0.9,2.4,7.37,1,1.6,3.8,1.1
39,Dusan Vlahovic Fiorentina,19,1699,16,2,2.1,3.9,7.37,3.6,1.0,1,2.6
40,Nico Schlotterbeck Freiburg,17,1464,2,-,0.5,0.9,7.37,1.3,0.5,0.6,1.4
41,Lucas Höler Freiburg,17,1429,4,1,0.9,3.1,7.37,2.1,1.3,0.7,2
42,Joselu Deportivo Alaves,17(2),1580,10,2,1,2.4,7.36,2.4,0.9,0.3,1.6
43,Fabián Ruiz Napoli,15,1287,5,2,0.5,0.8,7.35,1.4,1.3,0.3,0.8
44,João Cancelo Man City,20,1788,1,4,0.6,1.2,7.35,2.2,1.1,1.1,0.6
45,Ilkay Gündogan Man City,12(2),1059,4,3,0.7,0.9,7.34,2.2,1.8,1.1,0.4
46,Sergej Milinkovic-Savic Lazio,17(1),1413,5,6,1.3,2.5,7.33,1.8,1.4,1.1,1.3
47,Florian Wirtz Leverkusen,13(2),1134,5,8,0.9,2.5,7.33,1.6,2.3,1.9,0.8
48,Mamadou Mbow Reims,1,90,-,-,-,-,7.33,-,-,1,-
49,Tony Jantschke Borussia M.Gladbach,1,90,-,-,-,-,7.33,-,-,-,1
50,Ludovic Ajorque Strasbourg,16(1),1345,9,5,0.9,2.2,7.31,1.8,1.1,0.6,1.1
51,Serge Gnabry Bayern,11(6),952,9,3,0.3,1.9,7.31,2.0,0.9,1.8,0.6
52,Phil Foden Man City,10(3),921,5,3,1.5,1.8,7.3,2.1,1.7,0.8,0.8
53,Casemiro Real Madrid,17(1),1510,-,3,0.6,1.2,7.29,1.1,0.9,0.7,1.1
54,Bremer Torino,18,1560,2,1,0.2,0.8,7.29,0.9,0.3,0.6,0.6
55,Juan Cuadrado Juventus,14(3),1274,4,-,0.6,1.0,7.28,1.1,1.8,1.4,1.5
56,Domenico Berardi Sassuolo,17,1482,8,6,1.2,1.8,7.28,3.1,1.9,0.8,2.3
57,Gaëtan Laborde Rennes,15,1309,6,4,0.6,3.1,7.28,3.5,1.2,0.4,0.4
58,Konstantinos Mavropanos Stuttgart,15,1310,4,-,0.3,0.9,7.27,0.8,0.2,0.5,0.7
59,Jude Bellingham Borussia Dortmund,15,1270,2,5,2.1,2.2,7.26,1.6,1.3,2.0,2.8
