,name,age,pos1,pos2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player.1
0,Mattia Zaccagni Verona,26, AM(CL),FW,2,180,2,-,2,2.5,3.5,3.5,-,4,1,8.47,"Mattia Zaccagni Verona, 26, AM(CL),FW"
1,Robert Lewandowski Bayern,33, FW,,18,1541,20,1,4.6,1.4,1.5,1,0.4,1.3,2.3,8.1,"Robert Lewandowski Bayern, 33, FW"
2,Malang Sarr Chelsea,22, D(CL),,1,90,-,-,-,-,-,-,-,-,-,7.95,"Malang Sarr Chelsea, 22, D(CL)"
3,Erling Haaland Borussia Dortmund,21, FW,,11(1),992,13,5,4.3,1,0.8,0.7,0.5,0.6,2.8,7.88,"Erling Haaland Borussia Dortmund, 21, FW"
4,Mohamed Salah Liverpool,29, AM(CLR),FW,20,1784,16,9,4,2.1,1.9,0.8,0.5,2.1,3.3,7.82,"Mohamed Salah Liverpool, 29, AM(CLR),FW"
5,Andy Delort Montpellier,30, AM(R),FW,3,270,2,1,4.7,3,0.3,1,-,0.7,3.3,7.82,"Andy Delort Montpellier, 30, AM(R),FW"
6,Gerard Moreno Villarreal,29, AM(CR),FW,10(1),861,8,2,2.9,2.1,2.3,1.1,0.5,1.5,1.8,7.81,"Gerard Moreno Villarreal, 29, AM(CR),FW"
7,Téji Savanier Montpellier,30, M(C),,16,1380,5,6,2.9,2.1,3.3,2.9,0.1,1.3,2.9,7.8,"Téji Savanier Montpellier, 30, M(C)"
8,Kike Hermoso Real Betis,22, Defender,,1,90,1,-,2,-,1,-,-,-,1,7.77,"Kike Hermoso Real Betis, 22, Defender"
9,Kylian Mbappé PSG,23, AM(LR),FW,17(1),1522,9,8,3.7,1.9,3.4,1.4,1.2,1.7,2.9,7.76,"Kylian Mbappé PSG, 23, AM(LR),FW"
10,Karim Benzema Real Madrid,34, FW,,20,1652,17,7,3.6,1.9,1.1,0.3,1.1,0.8,1.4,7.75,"Karim Benzema Real Madrid, 34, FW"
11,Luca Gemello Torino,21, Goalkeeper,,1,90,-,-,-,-,-,-,-,-,-,7.71,"Luca Gemello Torino, 21, Goalkeeper"
12,Vinícius Júnior Real Madrid,21, AM(L),FW,18(2),1605,12,4,2.6,1.7,3,2.3,0.7,1.9,2.5,7.67,"Vinícius Júnior Real Madrid, 21, AM(L),FW"
13,Dimitri Payet Marseille,34, M(CLR),FW,16(1),1428,7,7,2.3,3.8,0.9,1.6,0.1,1.1,1.4,7.65,"Dimitri Payet Marseille, 34, M(CLR),FW"
14,Ben Chilwell Chelsea,25, D(L),M(L),6,540,3,1,2.2,1.7,0.5,2.5,0.3,0.5,2.2,7.65,"Ben Chilwell Chelsea, 25, D(L),M(L)"
15,Trent Alexander-Arnold Liverpool,23, D(R),M(R),18,1594,2,9,1.7,3.1,0.4,0.3,0.2,0.4,0.9,7.63,"Trent Alexander-Arnold Liverpool, 23, D(R),M(R)"
16,Patrik Schick Leverkusen,25, AM(R),FW,15,1188,17,1,3.3,0.5,0.5,0.8,0.2,0.9,2.2,7.6,"Patrik Schick Leverkusen, 25, AM(R),FW"
17,Stefanos Kapino Arminia Bielefeld,27, GK,,1,90,-,-,-,-,-,-,-,-,-,7.58,"Stefanos Kapino Arminia Bielefeld, 27, GK"
18,Thomas Müller Bayern,32, M(CLR),FW,18,1492,5,14,1.4,3.4,0.5,0.6,0.2,0.8,1.8,7.56,"Thomas Müller Bayern, 32, M(CLR),FW"
19,Christopher Nkunku RBL,24, M(CLR),FW,17(1),1513,8,7,2.7,1.9,2.2,1.7,0.4,1.7,3.1,7.55,"Christopher Nkunku RBL, 24, M(CLR),FW"
20,Dani Alves Barcelona,38, D(R),M(CR),1,90,-,1,-,3.0,-,1.0,-,-,1.0,7.49,"Dani Alves Barcelona, 38, D(R),M(CR)"
21,Hakan Calhanoglu Inter,27, M(CLR),FW,16(1),1160,6,7,2.1,2.7,0.4,0.9,-,0.7,1.1,7.48,"Hakan Calhanoglu Inter, 27, M(CLR),FW"
