,tm_ef,tmn,tmx,wf
0,2022-01-08 00:00,-4,4,구름많음
1,2022-01-08 12:00,-4,4,구름많음
2,2022-01-09 00:00,-1,4,흐림
3,2022-01-09 12:00,-1,4,구름많음
4,2022-01-10 00:00,-4,3,구름많음
5,2022-01-10 12:00,-4,3,구름많음
6,2022-01-11 00:00,-8,-1,맑음
7,2022-01-11 12:00,-8,-1,맑음
8,2022-01-12 00:00,-7,1,맑음
9,2022-01-12 12:00,-7,1,맑음
10,2022-01-13 00:00,-4,3,구름많음
11,2022-01-14 00:00,-6,0,맑음
12,2022-01-15 00:00,-7,0,구름많음
13,2022-01-08 00:00,-3,5,구름많음
14,2022-01-08 12:00,-3,5,구름많음
15,2022-01-09 00:00,-1,3,흐림
16,2022-01-09 12:00,-1,3,구름많음
17,2022-01-10 00:00,-3,2,구름많음
18,2022-01-10 12:00,-3,2,구름많음
19,2022-01-11 00:00,-7,-2,맑음
20,2022-01-11 12:00,-7,-2,맑음
21,2022-01-12 00:00,-6,1,맑음
22,2022-01-12 12:00,-6,1,맑음
23,2022-01-13 00:00,-2,3,구름많음
24,2022-01-14 00:00,-4,0,맑음
25,2022-01-15 00:00,-6,0,구름많음
26,2022-01-08 00:00,-6,5,구름많음
27,2022-01-08 12:00,-6,5,구름많음
28,2022-01-09 00:00,-2,4,흐림
29,2022-01-09 12:00,-2,4,구름많음
30,2022-01-10 00:00,-5,3,구름많음
31,2022-01-10 12:00,-5,3,구름많음
32,2022-01-11 00:00,-8,-1,맑음
33,2022-01-11 12:00,-8,-1,맑음
34,2022-01-12 00:00,-7,3,맑음
35,2022-01-12 12:00,-7,3,맑음
36,2022-01-13 00:00,-4,3,구름많음
37,2022-01-14 00:00,-6,1,맑음
38,2022-01-15 00:00,-7,1,구름많음
39,2022-01-08 00:00,-8,5,구름많음
40,2022-01-08 12:00,-8,5,구름많음
41,2022-01-09 00:00,-5,4,흐림
42,2022-01-09 12:00,-5,4,구름많음
43,2022-01-10 00:00,-7,3,구름많음
44,2022-01-10 12:00,-7,3,구름많음
45,2022-01-11 00:00,-11,0,맑음
46,2022-01-11 12:00,-11,0,맑음
47,2022-01-12 00:00,-11,1,맑음
48,2022-01-12 12:00,-11,1,맑음
49,2022-01-13 00:00,-7,2,구름많음
50,2022-01-14 00:00,-10,0,맑음
51,2022-01-15 00:00,-10,-1,구름많음
52,2022-01-08 00:00,-8,5,구름많음
53,2022-01-08 12:00,-8,5,구름많음
54,2022-01-09 00:00,-4,5,흐림
55,2022-01-09 12:00,-4,5,구름많음
56,2022-01-10 00:00,-6,3,구름많음
57,2022-01-10 12:00,-6,3,구름많음
58,2022-01-11 00:00,-7,0,맑음
59,2022-01-11 12:00,-7,0,맑음
60,2022-01-12 00:00,-10,2,맑음
61,2022-01-12 12:00,-10,2,맑음
62,2022-01-13 00:00,-6,2,구름많음
63,2022-01-14 00:00,-8,1,맑음
64,2022-01-15 00:00,-9,0,구름많음
65,2022-01-08 00:00,-6,6,구름많음
66,2022-01-08 12:00,-6,6,구름많음
67,2022-01-09 00:00,-1,5,흐림
68,2022-01-09 12:00,-1,5,구름많음
69,2022-01-10 00:00,-4,3,구름많음
70,2022-01-10 12:00,-4,3,구름많음
71,2022-01-11 00:00,-6,0,맑음
72,2022-01-11 12:00,-6,0,맑음
73,2022-01-12 00:00,-8,3,맑음
74,2022-01-12 12:00,-8,3,맑음
75,2022-01-13 00:00,-5,3,구름많음
76,2022-01-14 00:00,-6,1,맑음
77,2022-01-15 00:00,-8,1,구름많음
78,2022-01-08 00:00,2,6,구름많음
79,2022-01-08 12:00,2,6,구름많음
80,2022-01-09 00:00,0,2,흐림
81,2022-01-09 12:00,0,2,구름많음
82,2022-01-10 00:00,-1,1,구름많음
83,2022-01-10 12:00,-1,1,구름많음
84,2022-01-11 00:00,-4,0,맑음
85,2022-01-11 12:00,-4,0,맑음
86,2022-01-12 00:00,-2,4,맑음
87,2022-01-12 12:00,-2,4,맑음
88,2022-01-13 00:00,0,1,구름많음
89,2022-01-14 00:00,-2,1,맑음
90,2022-01-15 00:00,-3,1,구름많음
91,2022-01-08 00:00,-6,5,구름많음
92,2022-01-08 12:00,-6,5,구름많음
93,2022-01-09 00:00,-2,4,흐림
94,2022-01-09 12:00,-2,4,구름많음
95,2022-01-10 00:00,-5,3,구름많음
96,2022-01-10 12:00,-5,3,구름많음
97,2022-01-11 00:00,-10,-2,맑음
98,2022-01-11 12:00,-10,-2,맑음
99,2022-01-12 00:00,-9,2,맑음
100,2022-01-12 12:00,-9,2,맑음
101,2022-01-13 00:00,-5,4,구름많음
102,2022-01-14 00:00,-8,-1,맑음
103,2022-01-15 00:00,-9,0,구름많음
